"first_name","last_name","rental_date","return_date","rented more than 7 days"
"Andrew","Purdy","2005-05-24 23:04:41","2005-06-03 01:43:41","9 days 02:39:00"
"Delores","Hansen","2005-05-24 23:05:21","2005-06-02 04:33:21","8 days 05:28:00"
"April","Burns","2005-05-25 00:09:02","2005-06-02 20:56:02","8 days 20:47:00"
"Ronald","Weiner","2005-05-25 00:39:22","2005-06-03 03:30:22","9 days 02:51:00"
"Troy","Quigley","2005-05-25 05:59:39","2005-06-02 09:56:39","8 days 03:57:00"
"Maria","Miller","2005-05-25 06:04:08","2005-06-02 08:18:08","8 days 02:14:00"
"Harry","Arce","2005-05-25 09:21:29","2005-06-03 11:31:29","9 days 02:10:00"
"Ben","Easter","2005-05-25 11:13:34","2005-06-03 12:58:34","9 days 01:45:00"
"Mary","Smith","2005-05-25 11:30:37","2005-06-03 12:00:37","9 days 00:30:00"
"Courtney","Day","2005-05-25 12:11:07","2005-06-03 10:54:07","8 days 22:43:00"
"Velma","Lucas","2005-05-25 12:15:19","2005-06-02 14:08:19","8 days 01:53:00"
"Bobbie","Craig","2005-05-25 15:54:16","2005-06-03 20:18:16","9 days 04:24:00"
"Bryan","Hardison","2005-05-25 16:12:52","2005-06-02 18:55:52","8 days 02:43:00"
"Lucy","Wheeler","2005-05-25 16:50:28","2005-06-02 22:11:28","8 days 05:21:00"
"Ernest","Stepp","2005-05-25 17:30:42","2005-06-03 22:36:42","9 days 05:06:00"
"Alma","Austin","2005-05-25 18:18:19","2005-06-04 00:01:19","9 days 05:43:00"
"Edward","Baugh","2005-05-25 18:28:09","2005-06-03 22:46:09","9 days 04:18:00"
"Ruth","Martinez","2005-05-25 18:43:49","2005-06-03 18:13:49","8 days 23:30:00"
"Reginald","Kinder","2005-05-25 18:57:24","2005-06-02 20:44:24","8 days 01:47:00"
"Harry","Arce","2005-05-25 20:48:50","2005-06-02 21:39:50","8 days 00:51:00"
"Norma","Gonzales","2005-05-25 21:10:40","2005-06-02 21:38:40","8 days 00:28:00"
"Sarah","Lewis","2005-05-25 21:20:03","2005-06-04 01:25:03","9 days 04:05:00"
"David","Royal","2005-05-25 21:58:58","2005-06-03 17:50:58","8 days 19:52:00"
"Don","Bone","2005-05-26 00:07:11","2005-06-04 00:20:11","9 days 00:13:00"
"Evelyn","Morgan","2005-05-26 00:41:10","2005-06-03 06:05:10","8 days 05:24:00"
"Rita","Graham","2005-05-26 02:26:23","2005-06-04 06:36:23","9 days 04:10:00"
"Frances","Parker","2005-05-26 03:46:26","2005-06-03 06:01:26","8 days 02:15:00"
"Alma","Austin","2005-05-26 04:21:46","2005-06-04 07:09:46","9 days 02:48:00"
"Ruth","Martinez","2005-05-26 04:26:06","2005-06-03 10:06:06","8 days 05:40:00"
"Tim","Cary","2005-05-26 05:32:52","2005-06-03 07:19:52","8 days 01:47:00"
"Andre","Rapp","2005-05-26 05:42:37","2005-06-04 00:38:37","8 days 18:56:00"
"Teresa","Rogers","2005-05-26 07:03:49","2005-06-04 11:45:49","9 days 04:42:00"
"Marcus","Hidalgo","2005-05-26 07:13:45","2005-06-04 02:02:45","8 days 18:49:00"
"Edna","West","2005-05-26 07:27:57","2005-06-03 12:52:57","8 days 05:25:00"
"Christopher","Greco","2005-05-26 09:27:09","2005-06-04 11:53:09","9 days 02:26:00"
"Brian","Wyman","2005-05-26 10:18:27","2005-06-04 06:59:27","8 days 20:41:00"
"Johnnie","Chisholm","2005-05-26 10:54:28","2005-06-04 09:39:28","8 days 22:45:00"
"Sherry","Marshall","2005-05-26 11:51:09","2005-06-04 09:36:09","8 days 21:45:00"
"Gladys","Hamilton","2005-05-26 12:40:23","2005-06-04 07:22:23","8 days 18:42:00"
"Lance","Pemberton","2005-05-26 13:06:05","2005-06-03 17:28:05","8 days 04:22:00"
"Maurice","Crawley","2005-05-26 15:32:46","2005-06-04 15:27:46","8 days 23:55:00"
"Tina","Simmons","2005-05-26 16:22:01","2005-06-03 17:30:01","8 days 01:08:00"
"Paul","Trout","2005-05-26 16:48:51","2005-06-03 18:17:51","8 days 01:29:00"
"Pauline","Henry","2005-05-26 17:09:53","2005-06-04 22:35:53","9 days 05:26:00"
"Ernest","Stepp","2005-05-26 18:02:50","2005-06-03 18:48:50","8 days 00:46:00"
"Willie","Markham","2005-05-26 19:21:44","2005-06-04 14:18:44","8 days 18:57:00"
"Billy","Poulin","2005-05-26 19:44:51","2005-06-04 18:00:51","8 days 22:16:00"
"Kathryn","Coleman","2005-05-26 19:47:49","2005-06-03 20:53:49","8 days 01:06:00"
"Andre","Rapp","2005-05-26 20:22:12","2005-06-05 00:58:12","9 days 04:36:00"
"Tim","Cary","2005-05-26 20:35:19","2005-06-04 02:31:19","8 days 05:56:00"
"Frances","Parker","2005-05-26 20:57:00","2005-06-05 01:34:00","9 days 04:37:00"
"Aaron","Selby","2005-05-26 21:48:13","2005-06-04 22:24:13","9 days 00:36:00"
